reference_date,location,value,post_mandatory
2020-10-17,AK,0.0,False
2020-10-24,AK,0.0,False
2020-10-31,AK,0.0,False
2020-11-07,AK,0.0,False
2020-11-14,AK,0.0,False
2020-11-21,AK,0.0,False
2020-11-28,AK,0.0,False
2020-12-05,AK,2.0,False
2020-12-12,AK,4.0,False
2020-12-19,AK,7.0,False
2020-12-26,AK,1.0,False
2021-01-02,AK,0.0,False
2021-01-09,AK,0.0,False
2021-01-16,AK,0.0,False
2021-01-23,AK,0.0,False
2021-01-30,AK,0.0,False
2021-02-06,AK,0.0,False
2021-02-13,AK,0.0,False
2021-02-20,AK,0.0,False
2021-02-27,AK,0.0,False
2021-03-06,AK,0.0,False
2021-03-13,AK,0.0,False
2021-03-20,AK,0.0,False
2021-03-27,AK,0.0,False
2021-04-03,AK,0.0,False
2021-04-10,AK,0.0,False
2021-04-17,AK,3.0,False
2021-04-24,AK,7.0,False
2021-05-01,AK,7.0,False
2021-05-08,AK,7.0,False
2021-05-15,AK,7.0,False
2021-05-22,AK,7.0,False
2021-05-29,AK,8.0,False
2021-06-05,AK,7.0,False
2021-06-12,AK,7.0,False
2021-06-19,AK,7.0,False
2021-06-26,AK,7.0,False
2021-07-03,AK,7.0,False
2021-07-10,AK,7.0,False
2021-07-17,AK,7.0,False
2021-07-24,AK,8.0,False
2021-07-31,AK,7.0,False
2021-08-07,AK,7.0,False
2021-08-14,AK,7.0,False
2021-08-21,AK,7.0,False
2021-08-28,AK,7.0,False
2021-09-04,AK,7.0,False
2021-09-11,AK,7.0,False
2021-09-18,AK,7.0,False
2021-09-25,AK,7.0,False
2021-10-02,AK,5.0,False
2021-10-09,AK,0.0,False
2021-10-16,AK,0.0,False
2021-10-23,AK,1.0,False
2021-10-30,AK,0.0,False
2021-11-06,AK,0.0,False
2021-11-13,AK,0.0,False
2021-11-20,AK,0.0,False
2021-11-27,AK,0.0,False
2021-12-04,AK,0.0,False
2021-12-11,AK,0.0,False
2021-12-18,AK,2.0,False
2021-12-25,AK,7.0,False
2022-01-01,AK,8.0,False
2022-01-08,AK,3.0,False
2022-01-15,AK,12.0,False
2022-01-22,AK,15.0,False
2022-01-29,AK,1.0,False
2022-02-05,AK,1.0,False
2022-02-12,AK,0.0,False
2022-02-19,AK,0.0,False
2022-02-26,AK,1.0,False
2022-03-05,AK,0.0,False
2022-03-12,AK,2.0,False
2022-03-19,AK,1.0,False
2022-03-26,AK,3.0,False
2022-04-02,AK,0.0,False
2022-04-09,AK,2.0,False
2022-04-16,AK,1.0,False
2022-04-23,AK,2.0,False
2022-04-30,AK,1.0,False
2022-05-07,AK,6.0,False
2022-05-14,AK,3.0,False
2022-05-21,AK,18.0,False
2022-05-28,AK,4.0,False
2022-06-04,AK,2.0,False
2022-06-11,AK,6.0,False
2022-06-18,AK,1.0,False
2022-06-25,AK,3.0,False
2022-07-02,AK,2.0,False
2022-07-09,AK,3.0,False
2022-07-16,AK,0.0,False
2022-07-23,AK,0.0,False
2022-07-30,AK,0.0,False
2022-08-06,AK,0.0,False
2022-08-13,AK,1.0,False
2022-08-20,AK,1.0,False
2022-08-27,AK,1.0,False
2022-09-03,AK,0.0,False
2022-09-10,AK,5.0,False
2022-09-17,AK,0.0,False
2022-09-24,AK,0.0,False
2022-10-01,AK,2.0,False
2022-10-08,AK,0.0,False
2022-10-15,AK,5.0,False
2022-10-22,AK,1.0,False
2022-10-29,AK,11.0,False
2022-11-05,AK,15.0,False
2022-11-12,AK,14.0,False
2022-11-19,AK,36.0,False
2022-11-26,AK,65.0,False
2022-12-03,AK,53.0,False
2022-12-10,AK,73.0,False
2022-12-17,AK,51.0,False
2022-12-24,AK,43.0,False
2022-12-31,AK,43.0,False
2023-01-07,AK,32.0,False
2023-01-14,AK,7.0,False
2023-01-21,AK,7.0,False
2023-01-28,AK,5.0,False
2023-02-04,AK,3.0,False
2023-02-11,AK,1.0,False
2023-02-18,AK,2.0,False
2023-02-25,AK,5.0,False
2023-03-04,AK,2.0,False
2023-03-11,AK,4.0,False
2023-03-18,AK,1.0,False
2023-03-25,AK,3.0,False
2023-04-01,AK,1.0,False
2023-04-08,AK,2.0,False
2023-04-15,AK,2.0,False
2023-04-22,AK,1.0,False
2023-04-29,AK,0.0,False
2023-05-06,AK,5.0,False
2023-05-13,AK,1.0,False
2023-05-20,AK,0.0,False
2023-05-27,AK,0.0,False
2023-06-03,AK,3.0,False
2023-06-10,AK,2.0,False
2023-06-17,AK,6.0,False
2023-06-24,AK,0.0,False
2023-07-01,AK,4.0,False
2023-07-08,AK,2.0,False
2023-07-15,AK,2.0,False
2023-07-22,AK,1.0,False
2023-07-29,AK,0.0,False
2023-08-05,AK,2.0,False
2023-08-12,AK,1.0,False
2023-08-19,AK,2.0,False
2023-08-26,AK,0.0,False
2023-09-02,AK,2.0,False
2023-09-09,AK,2.0,False
2023-09-16,AK,5.0,False
2023-09-23,AK,6.0,False
2023-09-30,AK,7.0,False
2023-10-07,AK,10.0,False
2023-10-14,AK,14.0,False
2023-10-21,AK,21.0,False
2023-10-28,AK,30.0,False
2023-11-04,AK,33.0,False
2023-11-11,AK,39.0,False
2023-11-18,AK,17.0,False
2023-11-25,AK,14.0,False
2023-12-02,AK,15.0,False
2023-12-09,AK,14.0,False
2023-12-16,AK,4.0,False
2023-12-23,AK,5.0,False
2023-12-30,AK,4.0,False
2024-01-06,AK,5.0,False
2024-01-13,AK,6.0,False
2024-01-20,AK,9.0,False
2024-01-27,AK,7.0,False
2024-02-03,AK,8.0,False
2024-02-10,AK,11.0,False
2024-02-17,AK,2.0,False
2024-02-24,AK,4.0,False
2024-03-02,AK,11.0,False
2024-03-09,AK,5.0,False
2024-03-16,AK,9.0,False
2024-03-23,AK,10.0,False
2024-03-30,AK,8.0,False
2024-04-06,AK,7.0,False
2024-04-13,AK,4.0,False
2024-04-20,AK,2.0,False
2024-04-27,AK,5.0,False
2024-05-04,AK,3.0,False
2024-05-11,AK,6.0,False
2024-05-18,AK,1.0,False
2024-05-25,AK,2.0,False
2024-06-01,AK,3.0,False
2024-06-08,AK,3.0,False
2024-06-15,AK,3.0,False
2024-06-22,AK,6.0,False
2024-06-29,AK,3.0,False
2024-07-06,AK,1.0,False
2024-07-13,AK,1.0,False
2024-07-20,AK,3.0,False
2024-07-27,AK,1.0,False
2024-08-03,AK,0.0,False
2024-08-10,AK,0.0,False
2024-08-17,AK,4.0,False
2024-08-24,AK,0.0,False
2024-08-31,AK,0.0,False
2024-09-07,AK,1.0,False
2024-09-14,AK,2.0,False
2024-09-21,AK,3.0,False
2024-09-28,AK,0.0,False
2024-10-05,AK,1.0,False
2024-10-12,AK,1.0,False
2024-10-19,AK,1.0,False
2024-10-26,AK,3.0,False
2024-11-02,AK,8.0,True
2024-11-09,AK,6.0,True
2024-11-16,AK,9.0,True
2024-11-23,AK,7.0,True
2024-11-30,AK,10.0,True
2024-12-07,AK,18.0,True
2024-12-14,AK,27.0,True
2024-12-21,AK,22.0,True
2024-12-28,AK,35.0,True
2025-01-04,AK,64.0,True
2025-01-11,AK,45.0,True
2025-01-18,AK,33.0,True
2025-01-25,AK,29.0,True
2025-02-01,AK,30.0,True
2025-02-08,AK,26.0,True
2025-02-15,AK,53.0,True
2025-02-22,AK,52.0,True
2025-03-01,AK,57.0,True
2025-03-08,AK,62.0,True
2025-03-15,AK,31.0,True
2025-03-22,AK,26.0,True
2025-03-29,AK,32.0,True
2025-04-05,AK,17.0,True
2025-04-12,AK,16.0,True
2025-04-19,AK,12.0,True
2025-04-26,AK,9.0,True
2025-05-03,AK,9.0,True
2025-05-10,AK,5.0,True
2025-05-17,AK,6.0,True
2025-05-24,AK,10.0,True
2025-05-31,AK,8.0,True
2025-06-07,AK,11.0,True
2025-06-14,AK,11.0,True
