release_date,region,issue,epiweek,lag,num_ili,num_patients,num_providers,num_age_0,num_age_1,num_age_2,num_age_3,num_age_4,num_age_5,wili,ili
2013-12-31,nat,201352,199740,847,570,46842,192,179.0,205.0,157.0,,,29.0,1.10148255903856,1.21685666709363
2013-12-31,nat,201352,199741,846,615,48023,191,199.0,242.0,151.0,,,23.0,1.20006821669266,1.28063636174333
2013-12-31,nat,201352,199742,845,681,54961,219,228.0,266.0,153.0,,,34.0,1.37876329090199,1.23906042466476
2013-12-31,nat,201352,199743,844,653,57044,213,188.0,236.0,193.0,,,36.0,1.19919934990887,1.14473038356356
2013-12-31,nat,201352,199744,843,700,55506,213,217.0,280.0,162.0,,,41.0,1.65617782439596,1.2611249234317
2013-12-31,nat,201352,199745,842,655,51062,195,178.0,281.0,148.0,,,48.0,1.4132646790523,1.2827542986957
2013-12-31,nat,201352,199746,841,932,64463,248,294.0,328.0,240.0,,,70.0,1.98679653659039,1.44579060856615
2013-12-31,nat,201352,199747,840,1100,66749,256,288.0,456.0,293.0,,,63.0,2.44749391690924,1.64796476351706
2013-12-31,nat,201352,199748,839,886,52890,252,268.0,343.0,206.0,,,69.0,1.73900869334521,1.6751748912838
2013-12-31,nat,201352,199749,838,1098,67887,253,299.0,415.0,282.0,,,102.0,1.93918764917391,1.61739360996951
2013-12-31,nat,201352,199750,837,1083,61314,242,346.0,388.0,268.0,,,81.0,2.28166200841743,1.76631764360505
2013-12-31,nat,201352,199751,836,1004,47719,190,348.0,362.0,235.0,,,59.0,2.50760628254817,2.10398373813366
2013-12-31,nat,201352,199752,835,1519,48429,251,510.0,492.0,404.0,,,113.0,4.11351694238239,3.13655041400814
2013-12-31,nat,201352,199753,834,1946,52333,250,579.0,576.0,584.0,,,207.0,5.62371997147913,3.71849502226129
2013-12-31,nat,201352,199801,833,2415,67228,254,639.0,810.0,759.0,,,207.0,4.37397957609257,3.59225322782174
2013-12-31,nat,201352,199802,832,2613,70828,255,690.0,1121.0,654.0,,,148.0,4.19434105925446,3.68921895295646
2013-12-31,nat,201352,199803,831,3126,67898,245,856.0,1440.0,679.0,,,151.0,5.42123497840406,4.60396477068544
2013-12-31,nat,201352,199804,830,3437,69999,245,824.0,1600.0,817.0,,,196.0,5.66136567846826,4.9100701438592
2013-12-31,nat,201352,199805,829,3354,69486,239,881.0,1471.0,769.0,,,233.0,5.97801530997379,4.82687160003454
2013-12-31,nat,201352,199806,828,2617,66322,234,699.0,1101.0,671.0,,,146.0,4.73580104248587,3.94590030457465
2013-12-31,nat,201352,199807,827,1948,62675,223,457.0,849.0,523.0,,,119.0,3.44581175619638,3.10809732748305
2013-12-31,nat,201352,199808,826,1289,60247,217,313.0,534.0,330.0,,,112.0,2.47799343564636,2.13952561953292
2013-12-31,nat,201352,199809,825,827,57449,211,241.0,308.0,214.0,,,64.0,1.65732101788579,1.43953767689603
2013-12-31,nat,201352,199810,824,748,50582,208,201.0,305.0,183.0,,,59.0,1.96952147076834,1.47878692024831
2013-12-31,nat,201352,199811,823,585,53889,200,162.0,249.0,123.0,,,51.0,1.58544547179502,1.0855647720314
2013-12-31,nat,201352,199812,822,486,48699,177,156.0,196.0,93.0,,,41.0,1.80474042232387,0.997967104047311
2013-12-31,nat,201352,199813,821,358,48105,182,90.0,144.0,92.0,,,32.0,1.04623964435058,0.744205384055711
2013-12-31,nat,201352,199814,820,368,42959,170,82.0,152.0,93.0,,,41.0,1.40040394193167,0.856630740939035
2013-12-31,nat,201352,199815,819,262,42140,156,64.0,106.0,73.0,,,19.0,0.796869916708698,0.621737066919791
2013-12-31,nat,201352,199816,818,265,39496,155,82.0,100.0,68.0,,,15.0,0.717097050627239,0.67095402066032
2013-12-31,nat,201352,199817,817,266,38324,148,58.0,120.0,61.0,,,27.0,1.00238051691898,0.694082037365619
2013-12-31,nat,201352,199818,816,209,35821,136,39.0,93.0,64.0,,,13.0,0.908403389352268,0.583456631584825
2013-12-31,nat,201352,199819,815,186,32200,131,79.0,61.0,37.0,,,9.0,0.443013613440555,0.577639751552795
2013-12-31,nat,201352,199820,814,165,27263,120,54.0,52.0,40.0,,,19.0,0.638986477179251,0.605215860323515
2013-12-31,nat,201352,199840,794,490,70272,304,115.0,210.0,139.0,,,26.0,1.57732655383659,0.697290528233151
2013-12-31,nat,201352,199841,793,605,77092,328,133.0,262.0,174.0,,,36.0,1.30879769279977,0.784776630519379
2013-12-31,nat,201352,199842,792,783,86720,350,217.0,287.0,225.0,,,54.0,1.41744166079288,0.902905904059041
2013-12-31,nat,201352,199843,791,1086,95437,377,278.0,530.0,226.0,,,52.0,1.18271629800184,1.13792344688119
2013-12-31,nat,201352,199844,790,1034,101821,388,298.0,414.0,262.0,,,60.0,2.33431933494584,1.01550760648589
2013-12-31,nat,201352,199845,789,1022,102108,400,258.0,402.0,292.0,,,70.0,1.81576814167884,1.00090100677714
2013-12-31,nat,201352,199846,788,1178,103429,372,355.0,478.0,281.0,,,64.0,2.17974839651846,1.13894555685543
2013-12-31,nat,201352,199847,787,1208,83346,403,291.0,512.0,322.0,,,83.0,2.11240130460686,1.44937969428647
2013-12-31,nat,201352,199848,786,1176,103241,392,319.0,453.0,310.0,,,94.0,2.04853598463967,1.13908234131789
2013-12-31,nat,201352,199849,785,1202,103600,399,353.0,461.0,303.0,,,85.0,1.93248285224564,1.16023166023166
2013-12-31,nat,201352,199850,784,1141,97416,396,312.0,426.0,320.0,,,83.0,1.90468269301989,1.17126550053379
2013-12-31,nat,201352,199851,783,1064,71380,384,335.0,359.0,296.0,,,74.0,2.55982795905948,1.49061361725974
2013-12-31,nat,201352,199852,782,1423,77216,382,418.0,377.0,466.0,,,162.0,3.99107829749648,1.84288230418566
2013-12-31,nat,201352,199901,781,1780,97593,396,439.0,548.0,659.0,,,134.0,3.08581471319857,1.82390130439683
2013-12-31,nat,201352,199902,780,2407,94632,396,431.0,874.0,962.0,,,140.0,4.16382885315591,2.54353706991293
2013-12-31,nat,201352,199903,779,3864,106864,399,801.0,1689.0,1168.0,,,206.0,5.58049063908214,3.61581075011229
2013-12-31,nat,201352,199904,778,4545,111421,397,755.0,2185.0,1419.0,,,186.0,5.25328068516793,4.07912332504645
2013-12-31,nat,201352,199905,777,5670,111667,397,970.0,2919.0,1562.0,,,219.0,6.74667105418412,5.07759678329318
2013-12-31,nat,201352,199906,776,5768,114244,379,1029.0,2911.0,1591.0,,,237.0,7.57188328085408,5.04884282763209
2013-12-31,nat,201352,199907,775,4920,104830,376,822.0,2275.0,1599.0,,,224.0,6.8728695796498,4.69331298292474
2013-12-31,nat,201352,199908,774,4486,105946,352,800.0,1932.0,1520.0,,,234.0,6.35097567530671,4.23423253355483
2013-12-31,nat,201352,199909,773,3910,97176,359,769.0,1543.0,1357.0,,,241.0,5.41098954716867,4.02362723306166
2013-12-31,nat,201352,199910,772,2922,97612,351,539.0,1140.0,1041.0,,,202.0,4.55008062123356,2.9934844076548
2013-12-31,nat,201352,199911,771,2070,87063,339,458.0,778.0,704.0,,,130.0,3.85915194011066,2.37758864270701
2013-12-31,nat,201352,199912,770,1696,84079,321,378.0,641.0,548.0,,,129.0,2.99600969958544,2.01715053699497
2013-12-31,nat,201352,199913,769,1091,79237,313,243.0,397.0,382.0,,,69.0,1.97814042371314,1.37688201219127
2013-12-31,nat,201352,199914,768,632,71588,277,127.0,265.0,202.0,,,38.0,1.16887251140846,0.882829524501313
2013-12-31,nat,201352,199915,767,396,64515,268,102.0,175.0,102.0,,,17.0,1.09301610414054,0.61381074168798
2013-12-31,nat,201352,199916,766,271,64253,258,59.0,133.0,66.0,,,13.0,0.633168672255144,0.421770189718768
2013-12-31,nat,201352,199917,765,399,64824,255,111.0,150.0,118.0,,,20.0,0.639560906125773,0.61551277304702
2013-12-31,nat,201352,199918,764,180,59546,237,35.0,84.0,50.0,,,11.0,1.55530896045871,0.302287307291842
2013-12-31,nat,201352,199919,763,292,55872,227,102.0,86.0,88.0,,,16.0,0.808019590190249,0.52262313860252
2013-12-31,nat,201352,199920,762,283,53444,222,100.0,100.0,68.0,,,15.0,1.33997211663046,0.529526233066387
2013-12-31,nat,201352,199940,742,791,80941,316,264.0,273.0,228.0,,,26.0,0.831218930504669,0.977255037619995
2013-12-31,nat,201352,199941,741,997,93434,361,292.0,351.0,297.0,,,57.0,1.40444812010986,1.06706338163838
2013-12-31,nat,201352,199942,740,1067,113187,386,346.0,371.0,293.0,,,57.0,1.31720562338446,0.942687764495923
2013-12-31,nat,201352,199943,739,1089,107163,355,371.0,367.0,289.0,,,62.0,1.3816083655742,1.01620895271689
2013-12-31,nat,201352,199944,738,1570,131448,449,438.0,607.0,434.0,,,91.0,1.41606594899708,1.19438865559004
2013-12-31,nat,201352,199945,737,1570,126461,456,473.0,535.0,461.0,,,101.0,1.48437739974482,1.24148947106222
2013-12-31,nat,201352,199946,736,1701,132304,459,443.0,622.0,544.0,,,92.0,1.52614127509118,1.28567541419761
2013-12-31,nat,201352,199947,735,1833,108377,455,483.0,504.0,714.0,,,132.0,1.85336049302162,1.69131826863633
2013-12-31,nat,201352,199948,734,2484,142980,469,518.0,835.0,994.0,,,137.0,2.32906925197585,1.73730591691146
2013-12-31,nat,201352,199949,733,3264,139657,480,643.0,1124.0,1316.0,,,181.0,2.70254083118029,2.33715460019906
2013-12-31,nat,201352,199950,732,4208,143607,475,828.0,1405.0,1676.0,,,299.0,3.50454049713086,2.93021927900451
2013-12-31,nat,201352,199951,731,5168,116927,472,1130.0,1399.0,2189.0,,,450.0,5.40798903845369,4.4198517023442
2013-12-31,nat,201352,199952,730,6846,121233,471,1339.0,1697.0,3146.0,,,664.0,7.04228382700404,5.64697730815867
2013-12-31,nat,201352,200001,729,7272,141197,482,1314.0,2043.0,3250.0,,,665.0,6.76845599908143,5.15025106765725
2013-12-31,nat,201352,200002,728,5470,140143,467,1011.0,1746.0,2251.0,,,462.0,5.52807665009061,3.90315606202236
2013-12-31,nat,201352,200003,727,3857,132462,450,851.0,1334.0,1357.0,,,315.0,3.80508489593453,2.91177847231659
