model,forecast_date,horizon,reference_date,location,source,y_true,median,wis,mae,cov_50,cov_95
tft,2023-11-04,1,2023-11-04,US,flusight,2010.0,1722.31005859375,130.25380647078805,287.68994140625,True,True
tft,2023-11-04,2,2023-11-11,US,flusight,2776.0,1725.475830078125,594.0707245669157,1050.524169921875,False,True
tft,2023-11-04,3,2023-11-18,US,flusight,3493.0,1575.64013671875,1117.1620617675783,1917.35986328125,False,True
tft,2023-11-04,4,2023-11-25,US,flusight,4381.0,1561.9921875,1636.1791410495925,2819.0078125,False,True
tft,2023-11-11,1,2023-11-11,US,flusight,2776.0,2167.158203125,285.6532279105808,608.841796875,False,True
tft,2023-11-11,2,2023-11-18,US,flusight,3493.0,2210.505859375,685.0472927989131,1282.494140625,False,True
tft,2023-11-11,3,2023-11-25,US,flusight,4381.0,2049.2275390625,1242.6176946756113,2331.7724609375,False,True
tft,2023-11-11,4,2023-12-02,US,flusight,5948.0,2099.50439453125,2133.45513645338,3848.49560546875,False,True
tft,2023-11-18,1,2023-11-18,US,flusight,3493.0,2857.9150390625,276.1487561035156,635.0849609375,True,True
tft,2023-11-18,2,2023-11-25,US,flusight,4381.0,3044.18212890625,706.3858809761379,1336.81787109375,False,True
tft,2023-11-18,3,2023-12-02,US,flusight,5948.0,2831.22607421875,1620.244600670856,3116.77392578125,False,True
tft,2023-11-18,4,2023-12-09,US,flusight,7474.0,2972.328125,2354.921996592646,4501.671875,False,True
tft,2023-11-25,1,2023-11-25,US,flusight,4381.0,3650.423828125,326.49403118631113,730.576171875,True,True
tft,2023-11-25,2,2023-12-02,US,flusight,5948.0,3821.74951171875,1132.0889597486414,2126.25048828125,False,True
tft,2023-11-25,3,2023-12-09,US,flusight,7474.0,3457.966796875,2072.1879379670518,4016.033203125,False,True
tft,2023-11-25,4,2023-12-16,US,flusight,10286.0,3566.628662109375,3612.6696945057743,6719.371337890625,False,True
tft,2023-12-02,1,2023-12-02,US,flusight,5948.0,4387.2548828125,693.1681093962296,1560.7451171875,False,True
tft,2023-12-02,2,2023-12-09,US,flusight,7474.0,4441.98828125,1659.1315769361413,3032.01171875,False,True
tft,2023-12-02,3,2023-12-16,US,flusight,10286.0,3802.47998046875,3721.622248269786,6483.52001953125,False,True
tft,2023-12-02,4,2023-12-23,US,flusight,15727.0,3715.774169921875,7336.176967561141,12011.225830078125,False,True
tft,2023-12-09,1,2023-12-09,US,flusight,7474.0,5798.580078125,715.3954390285327,1675.419921875,False,True
tft,2023-12-09,2,2023-12-16,US,flusight,10286.0,5911.1220703125,2422.2847194505775,4374.8779296875,False,True
tft,2023-12-09,3,2023-12-23,US,flusight,15727.0,5015.09765625,6436.5952519955845,10711.90234375,False,True
tft,2023-12-09,4,2023-12-30,US,flusight,21684.0,4902.73876953125,10275.487677744992,16781.26123046875,False,True
tft,2023-12-16,1,2023-12-16,US,flusight,10286.0,7016.59326171875,1538.732509765625,3269.40673828125,False,True
tft,2023-12-16,2,2023-12-23,US,flusight,15727.0,6945.79345703125,5577.019142111074,8781.20654296875,False,True
tft,2023-12-16,3,2023-12-30,US,flusight,21684.0,5579.37060546875,10531.73588007388,16104.62939453125,False,True
tft,2023-12-16,4,2024-01-06,US,flusight,19540.0,5174.3857421875,8121.617761389692,14365.6142578125,False,True
tft,2023-12-23,1,2023-12-23,US,flusight,15727.0,9789.712890625,3107.5560258152177,5937.287109375,False,True
tft,2023-12-23,2,2023-12-30,US,flusight,21684.0,9849.126953125,7270.362736497961,11834.873046875,False,True
tft,2023-12-23,3,2024-01-06,US,flusight,19540.0,8087.6142578125,5970.562747431215,11452.3857421875,False,True
tft,2023-12-23,4,2024-01-13,US,flusight,15919.0,7696.5205078125,3988.2677199388595,8222.4794921875,False,True
tft,2023-12-30,1,2023-12-30,US,flusight,21684.0,15874.5224609375,2559.540880180027,5809.4775390625,False,True
tft,2023-12-30,2,2024-01-06,US,flusight,19540.0,16969.4296875,2081.620701214334,2570.5703125,True,True
tft,2023-12-30,3,2024-01-13,US,flusight,15919.0,15122.107421875,2557.278001231318,796.892578125,True,True
tft,2023-12-30,4,2024-01-20,US,flusight,13308.0,15779.912109375,3700.1177583644703,2471.912109375,True,True
tft,2024-01-06,1,2024-01-06,US,flusight,19540.0,21896.59375,2189.50549889606,2356.59375,True,True
tft,2024-01-06,2,2024-01-13,US,flusight,15919.0,23153.90234375,4100.2396522588315,7234.90234375,False,True
tft,2024-01-06,3,2024-01-20,US,flusight,13308.0,20222.109375,5072.471620244565,6914.109375,False,True
tft,2024-01-06,4,2024-01-27,US,flusight,12993.0,20750.529296875,5994.333845108696,7757.529296875,True,True
tft,2024-01-13,1,2024-01-13,US,flusight,15919.0,17933.57421875,1478.5183950407607,2014.57421875,True,True
tft,2024-01-13,2,2024-01-20,US,flusight,13308.0,15483.115234375,1745.9866945482338,2175.115234375,True,True
tft,2024-01-13,3,2024-01-27,US,flusight,12993.0,10865.353515625,1827.8441465692933,2127.646484375,True,True
tft,2024-01-13,4,2024-02-03,US,flusight,11965.0,8595.626953125,2504.5381333857,3369.373046875,True,True
tft,2024-01-20,1,2024-01-20,US,flusight,13308.0,13451.0703125,700.1685241168477,143.0703125,True,True
tft,2024-01-20,2,2024-01-27,US,flusight,12993.0,10341.958984375,1479.0005918817933,2651.041015625,True,True
tft,2024-01-20,3,2024-02-03,US,flusight,11965.0,6645.2236328125,2728.924977072011,5319.7763671875,False,True
tft,2024-01-20,4,2024-02-10,US,flusight,11638.0,3901.09619140625,4112.110524159307,7736.90380859375,False,True
tft,2024-01-27,1,2024-01-27,US,flusight,12993.0,10227.03515625,1633.9725131623643,2765.96484375,False,True
tft,2024-01-27,2,2024-02-03,US,flusight,11965.0,7296.18603515625,2472.0626307744565,4668.81396484375,False,True
tft,2024-01-27,3,2024-02-10,US,flusight,11638.0,4708.962890625,4533.297487474525,6929.037109375,False,True
tft,2024-01-27,4,2024-02-17,US,flusight,11135.0,2935.9072265625,5796.045708007813,8199.0927734375,False,True
tft,2024-02-03,1,2024-02-03,US,flusight,11965.0,9044.9033203125,1847.0669798743206,2920.0966796875,False,True
