model,forecast_date,horizon,reference_date,location,source,y_true,median,wis,mae,cov_50,cov_95
mist,2023-11-04,1,2023-11-04,US,flusight,2010.0,1694.879638671875,179.0427761177395,315.120361328125,True,True
mist,2023-11-04,2,2023-11-11,US,flusight,2776.0,2156.009521484375,332.39154312797217,619.990478515625,False,True
mist,2023-11-04,3,2023-11-18,US,flusight,3493.0,2620.49169921875,459.46275934634,872.50830078125,True,True
mist,2023-11-04,4,2023-11-25,US,flusight,4381.0,2940.98828125,680.6326067584494,1440.01171875,True,True
mist,2023-11-11,1,2023-11-11,US,flusight,2776.0,2195.17724609375,305.39111259128737,580.82275390625,True,True
mist,2023-11-11,2,2023-11-18,US,flusight,3493.0,2933.998046875,361.545510532545,559.001953125,True,True
mist,2023-11-11,3,2023-11-25,US,flusight,4381.0,3689.572021484375,491.6864929729959,691.427978515625,True,True
mist,2023-11-11,4,2023-12-02,US,flusight,5948.0,4147.93896484375,878.8934202509342,1800.06103515625,True,True
mist,2023-11-18,1,2023-11-18,US,flusight,3493.0,3138.7314453125,302.56517111073373,354.2685546875,True,True
mist,2023-11-18,2,2023-11-25,US,flusight,4381.0,4420.3369140625,446.2151037332286,39.3369140625,True,True
mist,2023-11-18,3,2023-12-02,US,flusight,5948.0,5743.20703125,671.3894154954993,204.79296875,True,True
mist,2023-11-18,4,2023-12-09,US,flusight,7474.0,6453.7138671875,1031.2599462359885,1020.2861328125,True,True
mist,2023-11-25,1,2023-11-25,US,flusight,4381.0,4255.90234375,400.75544757345455,125.09765625,True,True
mist,2023-11-25,2,2023-12-02,US,flusight,5948.0,6189.30615234375,652.1927703857422,241.30615234375,True,True
mist,2023-11-25,3,2023-12-09,US,flusight,7474.0,8125.80322265625,991.0739379352074,651.80322265625,True,True
mist,2023-11-25,4,2023-12-16,US,flusight,10286.0,9099.97265625,1472.618267450747,1186.02734375,True,True
mist,2023-12-02,1,2023-12-02,US,flusight,5948.0,4211.2607421875,901.6722361158289,1736.7392578125,False,True
mist,2023-12-02,2,2023-12-09,US,flusight,7474.0,5824.42578125,985.2657241953974,1649.57421875,True,True
mist,2023-12-02,3,2023-12-16,US,flusight,10286.0,7300.11181640625,1581.5200492261806,2985.88818359375,True,True
mist,2023-12-02,4,2023-12-23,US,flusight,15727.0,8286.0791015625,3563.396844243589,7440.9208984375,False,True
mist,2023-12-09,1,2023-12-09,US,flusight,7474.0,5640.6875,989.6202493418818,1833.3125,True,True
mist,2023-12-09,2,2023-12-16,US,flusight,10286.0,7899.46435546875,1410.825443752123,2386.53564453125,True,True
mist,2023-12-09,3,2023-12-23,US,flusight,15727.0,9985.232421875,2957.100813094429,5741.767578125,False,True
mist,2023-12-09,4,2023-12-30,US,flusight,21684.0,11394.2734375,4894.534166896655,10289.7265625,False,True
mist,2023-12-16,1,2023-12-16,US,flusight,10286.0,6057.05859375,2338.2561613132643,4228.94140625,False,True
mist,2023-12-16,2,2023-12-23,US,flusight,15727.0,7718.74951171875,4672.047123598845,8008.25048828125,False,True
mist,2023-12-16,3,2023-12-30,US,flusight,21684.0,9787.853515625,6780.237776303498,11896.146484375,False,True
mist,2023-12-16,4,2024-01-06,US,flusight,19540.0,11534.517578125,3971.167765051801,8005.482421875,False,True
mist,2023-12-23,1,2023-12-23,US,flusight,15727.0,7861.93798828125,4782.643988620925,7865.06201171875,False,True
mist,2023-12-23,2,2023-12-30,US,flusight,21684.0,9928.9345703125,6992.779955630096,11755.0654296875,False,True
mist,2023-12-23,3,2024-01-06,US,flusight,19540.0,12665.982421875,3522.230093091882,6874.017578125,False,True
mist,2023-12-23,4,2024-01-13,US,flusight,15919.0,15007.83203125,2479.3998866338316,911.16796875,True,True
mist,2023-12-30,1,2023-12-30,US,flusight,21684.0,10100.654296875,7275.9363445779545,11583.345703125,False,True
mist,2023-12-30,2,2024-01-06,US,flusight,19540.0,12132.115234375,3563.460689962635,7407.884765625,False,True
mist,2023-12-30,3,2024-01-13,US,flusight,15919.0,15613.5625,2217.3854899796197,305.4375,True,True
mist,2023-12-30,4,2024-01-20,US,flusight,13308.0,19077.345703125,3899.287765264097,5769.345703125,True,True
mist,2024-01-06,1,2024-01-06,US,flusight,19540.0,13096.828125,3722.4320510996945,6443.171875,False,True
