location,forecast_date,reference_date,horizon,quantile,pred,y_true,model
US,2023-11-04,2023-11-04,1,0.01,483.9651184082031,2010.0,mist
US,2023-11-04,2023-11-04,1,0.025,883.7372436523438,2010.0,mist
US,2023-11-04,2023-11-04,1,0.05,896.049560546875,2010.0,mist
US,2023-11-04,2023-11-04,1,0.1,1030.31591796875,2010.0,mist
US,2023-11-04,2023-11-04,1,0.15,1089.1502685546875,2010.0,mist
US,2023-11-04,2023-11-04,1,0.2,1159.3212890625,2010.0,mist
US,2023-11-04,2023-11-04,1,0.25,1242.804443359375,2010.0,mist
US,2023-11-04,2023-11-04,1,0.3,1250.927978515625,2010.0,mist
US,2023-11-04,2023-11-04,1,0.35,1343.384765625,2010.0,mist
US,2023-11-04,2023-11-04,1,0.4,1367.038818359375,2010.0,mist
US,2023-11-04,2023-11-04,1,0.45,1384.186767578125,2010.0,mist
US,2023-11-04,2023-11-04,1,0.5,1501.4501953125,2010.0,mist
US,2023-11-04,2023-11-04,1,0.55,1564.580810546875,2010.0,mist
US,2023-11-04,2023-11-04,1,0.6,1616.7510986328125,2010.0,mist
US,2023-11-04,2023-11-04,1,0.65,1660.219482421875,2010.0,mist
US,2023-11-04,2023-11-04,1,0.7,1684.275390625,2010.0,mist
US,2023-11-04,2023-11-04,1,0.75,1790.4931640625,2010.0,mist
US,2023-11-04,2023-11-04,1,0.8,1950.806640625,2010.0,mist
US,2023-11-04,2023-11-04,1,0.85,2019.894287109375,2010.0,mist
US,2023-11-04,2023-11-04,1,0.9,2157.900634765625,2010.0,mist
US,2023-11-04,2023-11-04,1,0.95,2328.95751953125,2010.0,mist
US,2023-11-04,2023-11-04,1,0.975,2587.041015625,2010.0,mist
US,2023-11-04,2023-11-04,1,0.99,2647.59521484375,2010.0,mist
US,2023-11-04,2023-11-11,2,0.01,529.194580078125,2776.0,mist
US,2023-11-04,2023-11-11,2,0.025,536.063232421875,2776.0,mist
US,2023-11-04,2023-11-11,2,0.05,952.3716430664062,2776.0,mist
US,2023-11-04,2023-11-11,2,0.1,1207.5184326171875,2776.0,mist
US,2023-11-04,2023-11-11,2,0.15,1231.8653564453125,2776.0,mist
US,2023-11-04,2023-11-11,2,0.2,1352.7310791015625,2776.0,mist
US,2023-11-04,2023-11-11,2,0.25,1397.3330078125,2776.0,mist
US,2023-11-04,2023-11-11,2,0.3,1519.14404296875,2776.0,mist
US,2023-11-04,2023-11-11,2,0.35,1630.2626953125,2776.0,mist
US,2023-11-04,2023-11-11,2,0.4,1630.8228759765625,2776.0,mist
US,2023-11-04,2023-11-11,2,0.45,1708.095458984375,2776.0,mist
US,2023-11-04,2023-11-11,2,0.5,1789.4422607421875,2776.0,mist
US,2023-11-04,2023-11-11,2,0.55,1812.81298828125,2776.0,mist
US,2023-11-04,2023-11-11,2,0.6,1946.3782958984375,2776.0,mist
US,2023-11-04,2023-11-11,2,0.65,1991.2803955078125,2776.0,mist
US,2023-11-04,2023-11-11,2,0.7,2074.037109375,2776.0,mist
US,2023-11-04,2023-11-11,2,0.75,2247.77294921875,2776.0,mist
US,2023-11-04,2023-11-11,2,0.8,2343.148193359375,2776.0,mist
US,2023-11-04,2023-11-11,2,0.85,2487.39697265625,2776.0,mist
US,2023-11-04,2023-11-11,2,0.9,2788.890380859375,2776.0,mist
US,2023-11-04,2023-11-11,2,0.95,3119.4208984375,2776.0,mist
US,2023-11-04,2023-11-11,2,0.975,3387.62060546875,2776.0,mist
US,2023-11-04,2023-11-11,2,0.99,3493.5302734375,2776.0,mist
US,2023-11-04,2023-11-18,3,0.01,507.45904541015625,3493.0,mist
US,2023-11-04,2023-11-18,3,0.025,674.4376220703125,3493.0,mist
US,2023-11-04,2023-11-18,3,0.05,1091.1566162109375,3493.0,mist
US,2023-11-04,2023-11-18,3,0.1,1297.4844970703125,3493.0,mist
US,2023-11-04,2023-11-18,3,0.15,1387.71337890625,3493.0,mist
US,2023-11-04,2023-11-18,3,0.2,1500.7044677734375,3493.0,mist
