model,season,horizon,n,wis
ens_mean,2022-23,1,1378,53.827366362072596
ens_trimmed,2022-23,1,1378,54.3418521834128
ens_median,2022-23,1,1378,55.50363192720301
ml,2022-23,1,1378,58.58513386201769
persistence,2022-23,1,1378,59.67899323337594
stack_phase_conformal,2022-23,1,1378,59.744935645252156
stack_phase,2022-23,1,1378,60.737505271093994
stack_global,2022-23,1,1378,62.72722975307566
patchtst,2022-23,1,1378,63.10039113685527
ens_perf,2022-23,1,1378,65.88874053640171
tft,2022-23,1,1378,67.7211979491438
seasonal_naive,2022-23,1,1378,77.67958655600249
arima,2022-23,1,1378,83.35071180090416
mist_v2,2022-23,1,1378,98.06401060753934
patchtst,2022-23,2,1378,88.1957202233069
ens_trimmed,2022-23,2,1378,88.2251082082724
ens_mean,2022-23,2,1378,90.05130779272088
ens_median,2022-23,2,1378,90.7115078831553
tft,2022-23,2,1378,93.382995939289
ml,2022-23,2,1378,105.76842762547786
persistence,2022-23,2,1378,105.97367940839995
seasonal_naive,2022-23,2,1378,121.19487623600028
mist_v2,2022-23,2,1378,128.16221537179774
stack_phase_conformal,2022-23,2,1378,135.78242593329958
stack_global,2022-23,2,1378,136.5037448300802
stack_phase,2022-23,2,1378,137.37414234206312
ens_perf,2022-23,2,1378,142.2823562137644
arima,2022-23,2,1378,175.93817741592161
patchtst,2022-23,3,1378,101.15471491039746
ens_trimmed,2022-23,3,1378,115.11262273144742
ens_median,2022-23,3,1378,117.58077680635922
tft,2022-23,3,1378,117.99566375867369
ens_mean,2022-23,3,1378,134.49113744740262
persistence,2022-23,3,1378,144.48929567061603
seasonal_naive,2022-23,3,1378,151.84290286420313
mist_v2,2022-23,3,1378,152.69541057678703
ml,2022-23,3,1378,215.25235836182353
ens_perf,2022-23,3,1378,243.74047675380749
stack_global,2022-23,3,1378,247.4694979155689
stack_phase_conformal,2022-23,3,1378,252.76404433970285
stack_phase,2022-23,3,1378,254.45252755903485
arima,2022-23,3,1378,287.8026101561234
patchtst,2022-23,4,1378,112.56282904116135
ens_trimmed,2022-23,4,1378,139.51408574030916
ens_median,2022-23,4,1378,140.33980190225904
tft,2022-23,4,1378,143.6970513939622
seasonal_naive,2022-23,4,1378,169.0834807582527
persistence,2022-23,4,1378,175.38363971476718
mist_v2,2022-23,4,1378,197.18908731349347
ens_mean,2022-23,4,1378,232.26417681597027
stack_global,2022-23,4,1378,396.77564680963974
stack_phase_conformal,2022-23,4,1378,399.89746124534935
stack_phase,2022-23,4,1378,405.65788939652737
arima,2022-23,4,1378,435.73387860686506
ens_perf,2022-23,4,1378,438.53290540145105
ml,2022-23,4,1378,631.7094981465168
ens_trimmed,2023-24,1,1378,37.0797244916309
ens_median,2023-24,1,1378,37.60455446389156
arima,2023-24,1,1378,39.09454867340221
ens_mean,2023-24,1,1378,39.95230908897338
stack_global,2023-24,1,1378,40.306200230178106
stack_phase,2023-24,1,1378,41.04439391029935
stack_phase_conformal,2023-24,1,1378,41.36989618019047
ml,2023-24,1,1378,45.006900324578766
ens_perf,2023-24,1,1378,46.38300531733865
persistence,2023-24,1,1378,49.00864129332714
tft,2023-24,1,1378,52.27492701983407
patchtst,2023-24,1,1378,53.70647053248419
mist_v2,2023-24,1,1378,54.5157336220901
seasonal_naive,2023-24,1,1378,257.8569331824189
ens_mean,2023-24,2,1378,59.84277433428606
ens_trimmed,2023-24,2,1378,61.66206680661673
ens_median,2023-24,2,1378,64.4013953535101
stack_phase,2023-24,2,1378,71.79846139994793
stack_phase_conformal,2023-24,2,1378,72.56268198890383
mist_v2,2023-24,2,1378,72.89465569339963
stack_global,2023-24,2,1378,73.43559788277317
ens_perf,2023-24,2,1378,73.56873865031616
arima,2023-24,2,1378,75.34578706472848
tft,2023-24,2,1378,82.93550860385783
patchtst,2023-24,2,1378,83.07967831182039
persistence,2023-24,2,1378,90.34720908959902
ml,2023-24,2,1378,91.17826353282219
seasonal_naive,2023-24,2,1378,238.56818383978523
ens_mean,2023-24,3,1378,77.74005284254845
ens_trimmed,2023-24,3,1378,83.36467761276558
ens_median,2023-24,3,1378,87.19038856474837
mist_v2,2023-24,3,1378,92.9279560393907
ens_perf,2023-24,3,1378,99.33337081665712
stack_phase,2023-24,3,1378,101.78779612434346
stack_phase_conformal,2023-24,3,1378,103.16774629782869
stack_global,2023-24,3,1378,103.22447962780899
arima,2023-24,3,1378,107.74131756258166
patchtst,2023-24,3,1378,112.74152294239647
tft,2023-24,3,1378,114.51916408562359
ml,2023-24,3,1378,119.96959918852345
persistence,2023-24,3,1378,126.16673647653448
seasonal_naive,2023-24,3,1378,224.42642539197112
ens_mean,2023-24,4,1376,95.06338971978602
ens_trimmed,2023-24,4,1376,100.98159617498459
ens_median,2023-24,4,1376,108.34353512643692
mist_v2,2023-24,4,1376,118.81752867047071
ens_perf,2023-24,4,1376,119.6272554233679
stack_phase,2023-24,4,1376,129.21493796618782
stack_global,2023-24,4,1376,130.79669806322036
stack_phase_conformal,2023-24,4,1376,130.9651508240826
arima,2023-24,4,1376,132.07644765676713
patchtst,2023-24,4,1376,137.83753796202063
tft,2023-24,4,1376,139.18162303286147
persistence,2023-24,4,1376,155.24629697932374
ml,2023-24,4,1376,160.2620519883005
seasonal_naive,2023-24,4,1376,212.56605628229113
ens_trimmed,2024-25,1,1851,72.83456183497113
ens_median,2024-25,1,1851,73.31331401792248
ens_perf,2024-25,1,1851,73.9917646725069
ens_mean,2024-25,1,1851,74.06175961791644
tft,2024-25,1,1849,74.65814568116633
stack_global,2024-25,1,1851,74.6638865992818
stack_phase,2024-25,1,1851,75.47655550848165
stack_phase_conformal,2024-25,1,1851,75.52443972485518
patchtst,2024-25,1,1849,79.94572124877565
arima,2024-25,1,1849,96.89245605880893
ml,2024-25,1,1849,98.57090455758582
persistence,2024-25,1,1849,99.61976342451621
mist_v2,2024-25,1,1751,114.83413541906283
seasonal_naive,2024-25,1,1849,291.05173263978264
ens_mean,2024-25,2,1853,129.48839526905238
ens_perf,2024-25,2,1853,132.057850182109
ens_trimmed,2024-25,2,1853,133.098431340656
stack_global,2024-25,2,1853,133.31850400689396
tft,2024-25,2,1851,133.62871251159387
patchtst,2024-25,2,1851,133.9991144574807
ens_median,2024-25,2,1853,135.3809202670088
stack_phase,2024-25,2,1853,136.44580990531674
stack_phase_conformal,2024-25,2,1853,136.4794483507536
persistence,2024-25,2,1851,182.5705855634645
mist_v2,2024-25,2,1751,184.95381018073962
ml,2024-25,2,1851,186.2510922311647
arima,2024-25,2,1851,202.69283576841855
seasonal_naive,2024-25,2,1851,279.83294106150294
stack_global,2024-25,3,1853,177.29101909095544
patchtst,2024-25,3,1851,180.29358727378118
ens_trimmed,2024-25,3,1853,181.53872173914962
stack_phase_conformal,2024-25,3,1853,182.99022206890317
stack_phase,2024-25,3,1853,183.15144258330938
tft,2024-25,3,1851,184.06674257800262
ens_perf,2024-25,3,1853,184.39251474577745
ens_median,2024-25,3,1853,187.8175480603519
persistence,2024-25,3,1851,255.4230614248034
mist_v2,2024-25,3,1751,271.91944163458595
arima,2024-25,3,1851,276.8614054403359
seasonal_naive,2024-25,3,1851,278.8795239358603
ens_mean,2024-25,3,1853,299.1295779226635
