model,rank_unweighted,wis_unweighted,wis_weighted,mae,cov_50,cov_95,n
ens_trimmed,1,109.85766597907195,113.95176605466783,170.44532229336536,0.5488400488400489,0.9150849150849151,18018
ens_median,2,113.1740540286351,117.37401199054213,174.34027850320487,0.5295260295260296,0.9047064047064047,18018
patchtst,3,116.87464554116222,120.63830235018673,177.39250620762633,0.4704184704184704,0.8798423798423799,18018
tft,4,121.09880743260692,124.33711993928007,183.09786101298602,0.4365079365079365,0.8767898767898767,18018
ens_mean,5,128.69411091060903,133.7735017486466,164.26128680062055,0.532023532023532,0.8907758907758908,18018
persistence,6,151.23237778008354,157.48953836379712,213.73881673881675,0.46176046176046176,0.7304362304362304,18018
stack_global,7,151.25004911975685,151.64480521169637,205.71635960033535,0.49045399045399046,0.8760683760683761,18018
stack_phase_conformal,8,153.272569537034,153.8974359461768,209.4464270736089,0.5871905871905871,0.9588189588189588,18018
stack_phase,9,153.80034740814077,154.39260734857265,209.4464270736089,0.4981684981684982,0.8811188811188811,18018
mist_v2,10,154.24897308388296,160.82041934472852,198.47513494862616,0.4119214119214119,0.8854478854478854,18018
ens_perf,11,155.109132408457,155.35511420777596,203.5185228409007,0.4855699855699856,0.8691308691308691,18018
arima,12,191.16873451743808,195.14029136998664,240.1755238051331,0.5315795315795315,0.7547452547452548,18018
seasonal_naive,13,220.27553312028977,226.63563793514052,289.2956487956488,0.3556998556998557,0.595071595071595,18018
ml,14,273.14235921638505,288.7582006303202,207.37498284243216,0.4396159396159396,0.9194139194139194,18018
