model,rank_unweighted,wis_unweighted,wis_weighted,mae,cov_50,cov_95,n
ens_trimmed,1,107.0968726175946,111.64545820804105,167.01885912254644,0.5478515625,0.9130859375,18432
ens_median,2,110.38542501896417,115.06063256938731,170.83081010239005,0.5265842013888888,0.9024522569444444,18432
patchtst,3,114.17883605516373,118.31256466107149,173.88923693343202,0.46808510638297873,0.8768454190186713,18424
tft,4,118.45331335574049,121.94292989251997,179.47874689611245,0.43465045592705165,0.8735345201910552,18424
ens_mean,5,125.3492315014942,131.00867242530418,160.90663473872516,0.5294596354166666,0.8860677083333334,18432
persistence,6,147.36183027647527,154.3593489999821,209.43427051671733,0.46146330872774644,0.7305688232739904,18424
stack_global,7,148.6197037595774,148.56930490138296,201.50661307044862,0.4886610243055556,0.8740234375,18432
stack_phase_conformal,8,150.50464693103967,150.713535837103,205.14903124025776,0.5882161458333334,0.9595269097222222,18432
stack_phase,9,151.0291916779768,151.1966002835399,205.14903124025776,0.49853515625,0.8804796006944444,18432
ens_perf,10,152.43102743790263,152.1845989172901,199.35170082936148,0.4814995659722222,0.8649631076388888,18432
mist_v2,11,154.16113916547692,160.75048765286311,198.3889058703577,0.41201597692222347,0.8853322977920781,18026
arima,12,187.13720391234918,191.25323269112153,235.3228329353607,0.5413048198002606,0.7601498046026921,18424
seasonal_naive,13,215.4862877287394,222.4251956560468,283.7920646982197,0.3519865392965697,0.5905340859748155,18424
ml,14,265.0642724997051,282.85085286001646,203.21185487810513,0.4379070777247069,0.9167390360399479,18424
