model,season,phase_origin,n,wis
patchtst,2022-23,Declining,3244,22.629817034081242
stack_global,2022-23,Declining,3244,27.953323682306227
tft,2022-23,Declining,3244,32.51384144513884
stack_phase,2022-23,Declining,3244,32.94432911277754
ens_trimmed,2022-23,Declining,3244,35.897040544700346
ens_median,2022-23,Declining,3244,36.65369756957735
ens_perf,2022-23,Declining,3244,38.09005458900759
stack_phase_conformal,2022-23,Declining,3244,43.12807240596509
ens_mean,2022-23,Declining,3244,51.4970609574674
persistence,2022-23,Declining,3244,53.152799086365235
arima,2022-23,Declining,3244,59.47505132753924
seasonal_naive,2022-23,Declining,3244,67.66151789355017
mist_v2,2022-23,Declining,3244,68.88583186525965
ml,2022-23,Declining,3244,126.32084212254843
patchtst,2022-23,Peak,36,31.30024238725791
tft,2022-23,Peak,36,53.33163992068618
stack_global,2022-23,Peak,36,54.62136152696518
ens_perf,2022-23,Peak,36,62.45561610869466
ens_median,2022-23,Peak,36,64.05884753450385
ml,2022-23,Peak,36,64.15971816296472
ens_trimmed,2022-23,Peak,36,64.76564628822285
ens_mean,2022-23,Peak,36,65.67098298092534
stack_phase,2022-23,Peak,36,67.75887203952942
seasonal_naive,2022-23,Peak,36,79.26330560769321
stack_phase_conformal,2022-23,Peak,36,82.25683270016214
mist_v2,2022-23,Peak,36,88.99715885543158
persistence,2022-23,Peak,36,104.17469823971659
arima,2022-23,Peak,36,132.15615043466298
patchtst,2022-23,Rising,2232,191.9582803920478
ens_trimmed,2022-23,Rising,2232,192.0032763890855
ens_median,2022-23,Rising,2232,195.20085425277716
tft,2022-23,Rising,2232,212.91187274794694
persistence,2022-23,Rising,2232,220.82272333719828
seasonal_naive,2022-23,Rising,2232,221.29844234344543
ens_mean,2022-23,Rising,2232,239.35170918767727
mist_v2,2022-23,Rising,2232,254.12681057465733
ml,2022-23,Rising,2232,439.73928508012904
stack_phase_conformal,2022-23,Rising,2232,459.64854215469967
stack_global,2022-23,Rising,2232,479.2397586767716
stack_phase,2022-23,Rising,2232,480.8778144894363
ens_perf,2022-23,Rising,2232,493.37811499328916
arima,2022-23,Rising,2232,518.2072952213257
ens_mean,2023-24,Declining,2518,46.565376482344114
ens_trimmed,2023-24,Declining,2518,48.650630431561765
ens_median,2023-24,Declining,2518,51.03415110684278
arima,2023-24,Declining,2518,51.181891671839736
stack_phase,2023-24,Declining,2518,59.422696707425764
mist_v2,2023-24,Declining,2518,59.76698293791933
stack_phase_conformal,2023-24,Declining,2518,59.86581656871755
persistence,2023-24,Declining,2518,59.879592703116145
stack_global,2023-24,Declining,2518,63.135161592384556
ens_perf,2023-24,Declining,2518,64.31146373490205
ml,2023-24,Declining,2518,70.83872730478923
patchtst,2023-24,Declining,2518,73.53100984933421
tft,2023-24,Declining,2518,79.80827184530183
seasonal_naive,2023-24,Declining,2518,126.1316550288094
arima,2023-24,Peak,164,65.59857016373654
persistence,2023-24,Peak,164,71.95768598602368
mist_v2,2023-24,Peak,164,78.90467257155792
ens_trimmed,2023-24,Peak,164,80.46931609515465
ens_mean,2023-24,Peak,164,84.15551474226574
ens_median,2023-24,Peak,164,86.98131624742983
ml,2023-24,Peak,164,104.13898160670959
ens_perf,2023-24,Peak,164,110.70245956827789
stack_global,2023-24,Peak,164,112.43468975976664
stack_phase,2023-24,Peak,164,112.9659849871718
stack_phase_conformal,2023-24,Peak,164,113.43218568104001
tft,2023-24,Peak,164,138.33901473068065
patchtst,2023-24,Peak,164,140.05952639377415
seasonal_naive,2023-24,Peak,164,286.04939739314136
ens_mean,2023-24,Rising,2828,86.42062221656109
ens_trimmed,2023-24,Rising,2828,89.88477200490703
ens_median,2023-24,Rising,2828,94.42161607955138
ens_perf,2023-24,Rising,2828,101.37571519860506
stack_global,2023-24,Rising,2828,106.62735546376692
mist_v2,2023-24,Rising,2828,107.38526520869043
stack_phase,2023-24,Rising,2828,107.99434953010828
stack_phase_conformal,2023-24,Rising,2828,109.62775462434095
tft,2023-24,Rising,2828,110.32407170097329
patchtst,2023-24,Rising,2828,115.06108162256433
arima,2023-24,Rising,2828,123.1504036377468
ml,2023-24,Rising,2828,133.68144931974032
persistence,2023-24,Rising,2828,147.4296868485615
seasonal_naive,2023-24,Rising,2828,325.7824294045788
patchtst,2024-25,Declining,3562,34.25394259419385
stack_global,2024-25,Declining,3570,37.71163465500466
ens_perf,2024-25,Declining,3570,38.54749199792819
tft,2024-25,Declining,3562,41.38439759617741
ens_median,2024-25,Declining,3570,42.64204923345466
stack_phase,2024-25,Declining,3570,43.27077733742045
stack_phase_conformal,2024-25,Declining,3570,43.94575787995531
ens_trimmed,2024-25,Declining,3570,44.750905484411994
ens_mean,2024-25,Declining,3570,50.123868983027236
mist_v2,2024-25,Declining,3352,57.34174977826196
seasonal_naive,2024-25,Declining,3562,65.35298135200236
arima,2024-25,Declining,3562,80.17974405930545
persistence,2024-25,Declining,3562,85.63881895542335
ml,2024-25,Declining,3562,105.73178805042515
patchtst,2024-25,Peak,76,126.12908195769435
stack_global,2024-25,Peak,76,131.9608434934893
ens_perf,2024-25,Peak,76,139.0381150749479
tft,2024-25,Peak,76,140.98106687455825
ens_median,2024-25,Peak,76,144.46726583324175
ens_trimmed,2024-25,Peak,76,153.59942851780644
ens_mean,2024-25,Peak,76,167.39645515047025
mist_v2,2024-25,Peak,76,189.38201057286332
stack_phase_conformal,2024-25,Peak,76,210.3911087494126
stack_phase,2024-25,Peak,76,212.4073873547669
arima,2024-25,Peak,76,258.1581281571299
persistence,2024-25,Peak,76,260.698952336315
seasonal_naive,2024-25,Peak,76,314.7559668969299
ml,2024-25,Peak,76,398.1195185983149
ens_trimmed,2024-25,Rising,3764,252.17548627894018
stack_global,2024-25,Rising,3764,253.05631999195901
stack_phase_conformal,2024-25,Rising,3764,254.2240326918923
