model,season,n,wis,mae,cov_50,cov_95
patchtst,2022-23,5512,91.25341382793025,125.99368064606722,0.5159651669085631,0.8671988388969522
ens_trimmed,2022-23,5512,99.29841721586044,129.8613152317335,0.6006894049346879,0.862300435413643
ens_median,2022-23,5512,101.03392962974414,131.12235136633842,0.5867198838896952,0.8546806966618288
tft,2022-23,5512,105.69922726026718,140.64018723601677,0.49655297532656023,0.8552249637155298
persistence,2022-23,5512,121.38140200678977,160.6514876632801,0.5810957910014514,0.8035195936139332
ens_mean,2022-23,5512,127.65849710454158,136.74879948270745,0.5400943396226415,0.8254716981132075
seasonal_naive,2022-23,5512,129.95021160361463,167.59506531204644,0.4423076923076923,0.6725326560232221
mist_v2,2022-23,5512,144.0276809674044,166.98924575115973,0.399310595065312,0.8316400580551524
stack_global,2022-23,5512,210.8690298270911,239.09935764422244,0.5241291727140783,0.7922714078374455
stack_phase_conformal,2022-23,5512,212.047216790901,243.8195623243412,0.7407474600870827,0.9009433962264151
stack_phase,2022-23,5512,214.55551614217987,243.8195623243412,0.5156023222060958,0.7911828737300436
ens_perf,2022-23,5512,222.61111972635612,234.93945297790788,0.5257619738751814,0.7755805515239478
arima,2022-23,5512,245.70634449495356,270.7345006837474,0.5613207547169812,0.7042815674891146
ml,2022-23,5512,252.82885449895898,142.0411789724198,0.45500725689404936,0.9107402031930334
ens_mean,2023-24,5510,68.13986243715223,104.9740310072068,0.4720508166969147,0.9047186932849365
ens_trimmed,2023-24,5510,70.7610509067432,115.80902306478369,0.4958257713248639,0.9631578947368421
ens_median,2023-24,5510,74.37264221861705,122.27615004429175,0.46569872958257713,0.9584392014519056
ens_perf,2023-24,5510,84.71542497918985,132.14113341862225,0.3992740471869328,0.9045372050816697
mist_v2,2023-24,5510,84.7766169418499,122.41140059194244,0.43901996370235935,0.9052631578947369
stack_phase,2023-24,5510,85.94569733545198,134.14473594191344,0.41361161524500906,0.9183303085299456
stack_global,2023-24,5510,86.9248252743664,135.72154204624553,0.4029038112522686,0.911070780399274
stack_phase_conformal,2023-24,5510,87.00041645178904,134.14473594191344,0.43883847549909255,0.9961887477313974
arima,2023-24,5510,88.54873143812944,129.3273790437556,0.5431941923774954,0.8696914700544465
patchtst,2023-24,5510,96.82642177092822,149.56885578088503,0.3366606170598911,0.8762250453720508
tft,2023-24,5510,97.21257743968314,150.99327177825077,0.34627949183303086,0.8776769509981851
ml,2023-24,5510,104.08381978460713,143.19726546910988,0.38312159709618876,0.911070780399274
persistence,2023-24,5510,105.17405251105014,136.74010889292197,0.3813067150635209,0.7117967332123412
seasonal_naive,2023-24,5510,233.36194535229876,291.04119782214156,0.21724137931034482,0.5047186932849365
stack_global,2024-25,7410,148.0652561772747,222.4599913771582,0.5260458839406208,0.9072874493927126
ens_perf,2024-25,7410,149.9665376081619,222.85649659054712,0.5097165991902834,0.9020242914979757
ens_trimmed,2024-25,7410,151.23114973018016,232.73796554689648,0.5472334682860999,0.9136302294197031
tft,2024-25,7402,152.44813536727116,229.60480860184944,0.4543366657660092,0.8840853823291003
stack_phase_conformal,2024-25,7410,152.46630755042895,229.1816492913251,0.58582995951417,0.9758434547908232
stack_phase,2024-25,7410,152.5863615562985,229.1816492913251,0.5489878542510122,0.9187584345479083
patchtst,2024-25,7402,154.4566725666327,227.65924590485716,0.5302620913266685,0.8844906781950824
ens_median,2024-25,7410,155.74970320853134,236.47307750768533,0.5271255060728745,0.8963562753036437
ens_mean,2024-25,7410,180.24933496278877,220.46758406285954,0.5642375168690958,0.9172739541160594
persistence,2024-25,7402,215.53003631158592,299.87408808430155,0.43204539313699003,0.6902188597676304
arima,2024-25,7402,227.15653580396454,287.8553698596564,0.5249932450689003,0.7202107538503107
mist_v2,2024-25,7004,233.6791195871765,282.8707706135169,0.40077098800685323,0.9119074814391777
seasonal_naive,2024-25,7402,283.14670623030486,364.9235341799514,0.38503107268305864,0.5933531477978925
ml,2024-25,7402,438.2801432155493,293.43789557463333,0.465955147257498,0.9254255606592813
