model,season,n,wis,mae,cov_50,cov_95
patchtst,2022-23,5512,91.25341382793025,125.99368064606722,0.5159651669085631,0.8671988388969522
ens_trimmed,2022-23,5512,99.29841721586044,129.8613152317335,0.6006894049346879,0.862300435413643
ens_median,2022-23,5512,101.03392962974414,131.12235136633842,0.5867198838896952,0.8546806966618288
tft,2022-23,5512,105.69922726026718,140.64018723601677,0.49655297532656023,0.8552249637155298
persistence,2022-23,5512,121.38140200678977,160.6514876632801,0.5810957910014514,0.8035195936139332
ens_mean,2022-23,5512,127.65849710454158,136.74879948270745,0.5400943396226415,0.8254716981132075
seasonal_naive,2022-23,5512,129.95021160361463,167.59506531204644,0.4423076923076923,0.6725326560232221
mist_v2,2022-23,5512,144.0276809674044,166.98924575115973,0.399310595065312,0.8316400580551524
stack_global,2022-23,5512,210.8690298270911,239.09935764422244,0.5241291727140783,0.7922714078374455
stack_phase_conformal,2022-23,5512,212.047216790901,243.8195623243412,0.7407474600870827,0.9009433962264151
stack_phase,2022-23,5512,214.55551614217987,243.8195623243412,0.5156023222060958,0.7911828737300436
ens_perf,2022-23,5512,222.61111972635612,234.93945297790788,0.5257619738751814,0.7755805515239478
arima,2022-23,5512,245.70634449495356,270.7345006837474,0.5613207547169812,0.7042815674891146
ml,2022-23,5512,252.82885449895898,142.0411789724198,0.45500725689404936,0.9107402031930334
ens_mean,2023-24,5510,68.13986243715223,104.9740310072068,0.4720508166969147,0.9047186932849365
ens_trimmed,2023-24,5510,70.7610509067432,115.80902306478369,0.4958257713248639,0.9631578947368421
ens_median,2023-24,5510,74.37264221861705,122.27615004429175,0.46569872958257713,0.9584392014519056
ens_perf,2023-24,5510,84.71542497918985,132.14113341862225,0.3992740471869328,0.9045372050816697
mist_v2,2023-24,5510,84.7766169418499,122.41140059194244,0.43901996370235935,0.9052631578947369
stack_phase,2023-24,5510,85.94569733545198,134.14473594191344,0.41361161524500906,0.9183303085299456
stack_global,2023-24,5510,86.9248252743664,135.72154204624553,0.4029038112522686,0.911070780399274
stack_phase_conformal,2023-24,5510,87.00041645178904,134.14473594191344,0.43883847549909255,0.9961887477313974
arima,2023-24,5510,88.54873143812944,129.3273790437556,0.5431941923774954,0.8696914700544465
patchtst,2023-24,5510,96.82642177092822,149.56885578088503,0.3366606170598911,0.8762250453720508
tft,2023-24,5510,97.21257743968314,150.99327177825077,0.34627949183303086,0.8776769509981851
ml,2023-24,5510,104.08381978460713,143.19726546910988,0.38312159709618876,0.911070780399274
persistence,2023-24,5510,105.17405251105014,136.74010889292197,0.3813067150635209,0.7117967332123412
seasonal_naive,2023-24,5510,233.36194535229876,291.04119782214156,0.21724137931034482,0.5047186932849365
stack_global,2024-25,6996,155.95629225781303,234.54202562451047,0.5328759291023442,0.9145225843339051
ens_perf,2024-25,6996,158.00085251982503,234.97896435055915,0.5218696397941681,0.9149514008004574
ens_trimmed,2024-25,6996,159.5135298146122,245.4517624982252,0.5497427101200686,0.9188107489994283
tft,2024-25,6996,160.38461759787043,241.83470843180325,0.4602630074328187,0.8930817610062893
stack_phase_conformal,2024-25,6996,160.77007536841197,241.67164100065375,0.5830474556889651,0.9749857061177816
stack_phase,2024-25,6996,160.89982874679046,241.67164100065375,0.5510291595197255,0.9226700971983991
patchtst,2024-25,6996,162.54410102462816,239.80226040240314,0.5398799313893653,0.892652944539737
ens_median,2024-25,6996,164.11559023754407,249.396105002207,0.5347341337907375,0.9018010291595198
ens_mean,2024-25,6996,190.28397319013328,232.63201429033566,0.5728987993138936,0.9312464265294454
persistence,2024-25,6996,227.14167882241074,316.20883361921096,0.4311034877072613,0.6875357347055461
mist_v2,2024-25,6996,233.94262134239457,283.18945707009016,0.40051457975986277,0.9122355631789594
arima,2024-25,6996,239.25112761923126,303.4019670698941,0.4989994282447113,0.7039736992567182
seasonal_naive,2024-25,6996,297.51444240495596,383.80617495711834,0.3965122927387078,0.6052029731275014
ml,2024-25,6996,462.51440336558903,309.39601624130484,0.4719839908519154,0.9328187535734705
