season,model,forecast_date,reference_date,location,horizon,y_true,median,wis,mae
2022-23,mist_v2,2022-11-05,2022-11-05,01,1,399.0,87.34270228959473,238.35140296486878,311.65729771040526
2022-23,mist_v2,2022-11-05,2022-11-12,01,2,348.0,67.9689867417539,197.48751854773852,280.0310132582461
2022-23,mist_v2,2022-11-05,2022-11-19,01,3,258.0,94.30566803149286,92.05489609316702,163.69433196850713
2022-23,mist_v2,2022-11-05,2022-11-26,01,4,268.0,133.7877971059666,71.77246485698574,134.2122028940334
2022-23,mist_v2,2022-11-12,2022-11-12,01,1,348.0,105.35485053866643,116.39879509592933,242.64514946133357
2022-23,mist_v2,2022-11-12,2022-11-19,01,2,258.0,138.6055355019477,73.68332764553224,119.39446449805229
2022-23,mist_v2,2022-11-12,2022-11-26,01,3,268.0,172.41903367921344,68.86493881308331,95.58096632078656
2022-23,mist_v2,2022-11-12,2022-12-03,01,4,417.0,187.29290343708945,121.33243876130442,229.70709656291055
2022-23,mist_v2,2022-11-19,2022-11-19,01,1,258.0,221.45364786918174,48.051974448736246,36.54635213081826
2022-23,mist_v2,2022-11-19,2022-11-26,01,2,268.0,263.2083318888634,48.53984485461218,4.791668111136573
2022-23,mist_v2,2022-11-19,2022-12-03,01,3,417.0,284.54479368309137,71.88094098098065,132.45520631690863
2022-23,mist_v2,2022-11-19,2022-12-10,01,4,254.0,322.8688787135646,103.5469137670434,68.86887871356458
2022-23,mist_v2,2022-11-26,2022-11-26,01,1,268.0,168.1197967529297,44.263371569341075,99.88020324707031
2022-23,mist_v2,2022-11-26,2022-12-03,01,2,417.0,164.7678985595703,116.90470418968043,252.2321014404297
2022-23,mist_v2,2022-11-26,2022-12-10,01,3,254.0,173.81927490234375,43.34890991591815,80.18072509765625
2022-23,mist_v2,2022-11-26,2022-12-17,01,4,174.0,168.165283203125,34.5142549752747,5.834716796875
2022-23,mist_v2,2022-12-03,2022-12-03,01,1,417.0,122.90130615234375,130.06448298984432,294.09869384765625
2022-23,mist_v2,2022-12-03,2022-12-10,01,2,254.0,95.58018493652344,64.68588785520328,158.41981506347656
2022-23,mist_v2,2022-12-03,2022-12-17,01,3,174.0,85.69648742675781,48.45618028606401,88.30351257324219
2022-23,mist_v2,2022-12-03,2022-12-24,01,4,151.0,57.448734283447266,58.62329578172841,93.55126571655273
2022-23,mist_v2,2022-12-10,2022-12-10,01,1,254.0,180.02174074771148,148.60594205789903,73.97825925228852
2022-23,mist_v2,2022-12-10,2022-12-17,01,2,174.0,241.20735467712427,235.38449487650522,67.20735467712427
2022-23,mist_v2,2022-12-10,2022-12-24,01,3,151.0,277.6795986998584,271.48058498405567,126.67959869985839
2022-23,mist_v2,2022-12-10,2022-12-31,01,4,147.0,282.06659522145304,322.11191855297386,135.06659522145304
2022-23,mist_v2,2022-12-17,2022-12-17,01,1,174.0,174.72283935546875,44.62358298509599,0.72283935546875
2022-23,mist_v2,2022-12-17,2022-12-24,01,2,151.0,171.49993896484375,71.87699085831422,20.49993896484375
