focal,vs,mean_wis_diff,ci_low,ci_high,p_boot,focal_better
ens_trimmed,ml,-174.8064345756523,-297.7992342423434,-78.88733659458529,0.0,True
ens_trimmed,seasonal_naive,-112.68387188047271,-135.71234149053316,-91.20727655382544,0.0,True
ens_trimmed,arima,-81.1885253153188,-112.28210132750685,-57.66373554707015,0.0,True
ens_trimmed,mist_v2,-46.8686532900607,-66.95334513581713,-30.925132378460596,0.0,True
ens_trimmed,persistence,-43.537772309129316,-54.30003503970361,-34.24906637633325,0.0,True
ens_trimmed,ens_perf,-41.40334815310813,-70.47847722446123,-20.012448778567073,0.0,True
ens_trimmed,stack_phase,-40.44084129390483,-69.75150847850202,-20.53575340300409,0.0,True
ens_trimmed,stack_phase_conformal,-39.945669891509006,-69.03588849595847,-20.20771683483837,0.0,True
ens_trimmed,stack_global,-37.69303915702855,-66.56673843527615,-17.758015430516494,0.0,True
ens_trimmed,ens_mean,-19.821735693978773,-37.42525540403389,-6.074024271492038,0.0,True
ens_trimmed,tft,-10.385353884612249,-14.221891194159154,-6.899406717933785,0.0,True
ens_trimmed,patchtst,-6.686536295518911,-13.064158209141222,-0.6936192039990455,0.026000000000000023,True
ens_trimmed,ens_median,-3.4222459358743045,-5.507486888249418,-1.4972676234678384,0.0,True
