a,b,n,mean_diff_a_minus_b,stat,p,p_holm,p_bh
ens_trimmed,seasonal_naive,18424,-110.73266900529666,-10.405548178247912,2.7487171980303497e-25,2.5013326502076183e-23,2.501332650207618e-23
patchtst,seasonal_naive,18424,-104.11263099497532,-10.334604934350079,5.7501821015932045e-25,5.175163891433884e-23,2.6163328562249078e-23
ens_median,seasonal_naive,18424,-107.31601171978133,-10.14934007283721,3.8614305259960484e-24,3.436673168136483e-22,1.171300592885468e-22
ens_trimmed,persistence,18424,-42.666822349231936,-9.799454371393244,1.2856145415867867e-22,1.1313407965963722e-20,2.9247730821099394e-21
ens_median,persistence,18424,-39.25016506371662,-9.677456735686986,4.24368819219502e-22,3.692008727209667e-20,7.723512509794936e-21
seasonal_naive,tft,18424,100.48226576352683,9.576339495951734,1.1293658559948704e-21,9.712546361555885e-20,1.712871548258887e-20
ens_mean,seasonal_naive,18424,-91.36104696596784,-7.924896314857874,2.4126949222301662e-15,2.0507906838956414e-13,3.136503398899216e-14
arima,stack_global,18424,42.620826413163485,7.555632577979556,4.3630627439310094e-14,3.664972704902048e-12,4.962983871221522e-13
arima,stack_phase_conformal,18424,40.47607406265557,7.36388618840057,1.8616077725863313e-13,1.545134451246655e-11,1.8822923033928462e-12
arima,stack_phase,18424,39.99239021668514,7.29884932342079,3.020447303835675e-13,2.4767667891452533e-11,2.748607046490464e-12
persistence,tft,18424,32.41641910746213,7.1754540138531455,7.480574390808815e-13,6.05926525655514e-11,6.1884751778509284e-12
patchtst,persistence,18424,-36.046784338910605,-6.493114044103109,8.62270741844809e-11,6.898165934758472e-09,6.538886458989802e-10
ens_trimmed,tft,18424,-10.250403241769819,-6.148552325665777,7.980337840874645e-10,6.30446689429097e-08,5.586236488612251e-09
arima,ens_trimmed,18424,79.56070604037136,6.102610092076474,1.0643629449827316e-09,8.302030970865306e-08,6.918359142387755e-09
mist_v2,seasonal_naive,18018,-65.81521859041199,-6.0688423097605675,1.3141281842170795e-09,1.0118787018471512e-07,7.972377650916949e-09
arima,ens_perf,18424,39.00396257788339,5.961946778248421,2.5379661739455334e-09,1.9288542921986055e-07,1.4249580529121116e-08
persistence,seasonal_naive,18424,-68.0658466560647,-5.954131484012625,2.6620095493962523e-09,1.996507162047189e-07,1.4249580529121116e-08
arima,ens_median,18424,76.14404875485604,5.79117728709514,7.103223226096471e-09,5.256385187311389e-07,3.5910739643043276e-08
ens_trimmed,mist_v2,18026,-46.84785282260699,-5.38330366164876,7.404556555283555e-08,5.405326285356995e-06,3.546392876477913e-07
arima,patchtst,18424,72.94066803005002,5.323189147769458,1.0315769886707819e-07,7.4273543184296294e-06,4.6936752984520575e-07
arima,tft,18424,69.31030279860154,5.176533833144356,2.2842083591996125e-07,1.621787935031725e-05,9.89823622319832e-07
ens_median,mist_v2,18026,-43.42712569109788,-4.971002762838293,6.721881409477078e-07,4.705316986633954e-05,2.780414583010973e-06
seasonal_naive,stack_global,18424,73.79278937808878,4.627623047095137,3.7240632039715558e-06,0.00025696036107403735,1.47343370244092e-05
seasonal_naive,stack_phase_conformal,18424,71.64803702758086,4.531709736465154,5.887597970148963e-06,0.00040035666197012947,2.232380897014815e-05
seasonal_naive,stack_phase,18424,71.16435318161044,4.4674917423630385,7.96130383468237e-06,0.0005334073569237187,2.897914595824382e-05
stack_global,stack_phase,18432,-2.6272953821569485,-4.412918443612722,1.0256517684952451e-05,0.0006769301672068618,3.589781189733358e-05
ens_perf,seasonal_naive,18424,-70.17592554280868,-4.339877212852429,1.433216579505342e-05,0.0009315907766784722,4.8304706938883745e-05
arima,ens_mean,18424,60.189084001042545,4.280017791568768,1.878222823137742e-05,0.0012020626068081548,6.104224175197661e-05
mist_v2,patchtst,18018,40.182116994541786,4.2195156448933355,2.460254149675413e-05,0.00154996011429551,7.720107848981469e-05
mist_v2,tft,18018,36.483299405448435,4.080414305195781,4.5149080560152175e-05,0.0027992429947294346,0.0001369522110324616
ens_median,tft,18424,-6.833745956254498,-3.9944836932864307,6.508722019934463e-05,0.0039703204321600225,0.000191062485101302
ens_median,ens_trimmed,18432,3.415174361346259,3.856582858350329,0.00011537399996387136,0.006922439997832281,0.00032809481239725913
ens_mean,mist_v2,18026,-27.034914082225903,-3.4692354880873326,0.0005231612756855069,0.03086651526544491,0.0014426568511327616
ens_perf,ens_trimmed,18432,40.53914070924903,3.337257980168295,0.0008477674114992232,0.049170509866954946,0.0022010547429784006
ens_trimmed,stack_phase_conformal,18432,-39.06807762906194,-3.332439120527496,0.0008625768597818345,0.049170509866954946,0.0022010547429784006
ens_trimmed,stack_phase,18432,-39.55114207549886,-3.329813395837203,0.0008707469312881585,0.049170509866954946,0.0022010547429784006
stack_global,stack_phase_conformal,18432,-2.144230935720024,-3.1398135339060858,0.00169322374002898,0.0931273057015939,0.004112887902086865
ens_mean,ml,18424,-151.78670416993748,-3.1356437381363103,0.0017174696733989107,0.0931273057015939,0.004112887902086865
ens_trimmed,stack_global,18432,-36.92384669334189,-3.1198173821467408,0.001812423368844794,0.09605843854877408,0.004228987860637853
ens_trimmed,ml,18424,-171.15832620926628,-3.0390480371907294,0.0023765967813263052,0.12358303262896787,0.005406757677517344
ens_median,ens_perf,18432,-37.12396634790279,-3.027291971685722,0.0024709636092442146,0.12601914407145495,0.005484333864420086
ens_median,stack_phase,18432,-36.13596771415259,-3.009686973265,0.0026187070239020245,0.13093535119510122,0.005577225211142606
ens_median,stack_phase_conformal,18432,-35.65290326771567,-3.0077562354377103,0.0026353921327377148,0.13093535119510122,0.005577225211142606
ens_median,ml,18424,-167.74166892375098,-2.9899589462096166,0.002793834568872452,0.1341040593058777,0.005778157858349844
ml,patchtst,18424,164.53828819894497,2.8972616899773556,0.0037687894488865185,0.17713310409766636,0.00762132977441496
ml,tft,18424,160.9079229674965,2.8474187666927047,0.004412408482383432,0.20297079018963787,0.00872889504123679
ens_median,stack_global,18432,-33.50867233199564,-2.802301254156659,0.005079241147674189,0.2285658516453385,0.00983427541358194
ens_perf,patchtst,18424,33.936705452166635,2.756064533506649,0.005855896735378497,0.2576594563566539,0.011002869515012585
arima,persistence,18424,36.89388369113941,2.748355515432411,0.005995331977068502,0.2577992750139456,0.011002869515012585
patchtst,stack_phase,18424,-32.94827781336488,-2.7449511875132897,0.006057853829695681,0.2577992750139456,0.011002869515012585
patchtst,stack_phase_conformal,18424,-32.46459396739446,-2.7391129881681655,0.006166443354567493,0.2577992750139456,0.011002869515012585
ens_mean,persistence,18424,-23.29520030990313,-2.632763449821516,0.00847639781121514,0.3390559124486056,0.014833696169626496
patchtst,stack_global,18424,-30.319841616886542,-2.5424559009664027,0.011015761587697218,0.4296147019201915,0.018913854801517863
ens_perf,tft,18424,30.30634022071814,2.481674081909179,0.013085529152823313,0.4972501078072859,0.022051539868646695
stack_phase,tft,18424,29.317912581916392,2.4609436800731967,0.01386631397963924,0.5130536172466519,0.022942446766312196
stack_phase_conformal,tft,18424,28.834228735945974,2.4515306691469285,0.014234225096553673,0.5130536172466519,0.023130615781899715
arima,mist_v2,18018,34.31987202525812,2.4130831738372183,0.01582812567757351,0.5539843987150729,0.024690590517336422
mist_v2,ml,18018,-127.93778128559164,-2.409750103895443,0.015973409423433508,0.5539843987150729,0.024690590517336422
ens_mean,ens_trimmed,18432,19.363214217263135,2.4089511363969387,0.016008185060690648,0.5539843987150729,0.024690590517336422
ens_trimmed,patchtst,18424,-6.620038010321332,-2.3939246928002893,0.016679108971713808,0.5539843987150729,0.025296648607099275
ens_perf,ml,18424,-130.60158274677832,-2.336486446780818,0.019476565538691804,0.6037735316994459,0.029055204328212365
ml,stack_global,18424,134.21844658205842,2.323901823517046,0.020141577863697212,0.6042473359109164,0.029562638477362034
ml,persistence,18424,128.49150386003436,2.300612100741395,0.021424681762877103,0.621315771123436,0.03094676254637804
ml,stack_phase_conformal,18424,132.0736942315505,2.2872153538698687,0.022194540396634963,0.621447131105779,0.03155786212646534
ml,stack_phase,18424,131.59001038558006,2.277527271003343,0.022766164020440103,0.621447131105779,0.031872629628616145
stack_global,tft,18424,26.689476385438056,2.2524096544046475,0.024308117093500024,0.6320110444310006,0.033515737204674274
ens_mean,ens_median,18432,15.948039855916882,2.0168814542119677,0.043722357951802196,1.0,0.05938409811364179
arima,seasonal_naive,18424,-31.171962964925296,-1.9036247413340646,0.05697464138652526,1.0,0.0762454759731441
patchtst,tft,18424,-3.630365231448486,-1.8427107734395158,0.06538730687926318,1.0,0.08623543371033261
ens_mean,ens_perf,18432,-21.17592649198589,-1.6415105356982265,0.10070854346236906,1.0,0.13092110650107977
arima,ml,18424,-91.59762016889489,-1.6270589701322729,0.10374167560449477,1.0,0.1329646828170285
ens_mean,stack_phase,18432,-20.187927858235714,-1.4591991194976057,0.1445273530410928,1.0,0.18266651564915895
ens_mean,patchtst,18424,12.75158402900748,1.4444795334746547,0.14862113916345374,1.0,0.18526744745033272
ens_mean,stack_phase_conformal,18432,-19.70486341179879,-1.4372580846213667,0.15066164979983643,1.0,0.18527310988898804
